scientific_name,common_name,source_db,source_url,taxon_id
Cuitlauzina convallarioides,,GBIF,https://www.gbif.org/species/2784608,2784608
Cullen graveolens,,GBIF,https://www.gbif.org/species/3966607,3966607
Cullen patens,,GBIF,https://www.gbif.org/species/3966566,3966566
Cumulopuntia corotilla,,GBIF,https://www.gbif.org/species/3954179,3954179
Cumulopuntia leucophaea,,GBIF,https://www.gbif.org/species/10786898,10786898
Cupania rubiginosa,,GBIF,https://www.gbif.org/species/3784733,3784733
Cuphea anagalloidea,,GBIF,https://www.gbif.org/species/3988754,3988754
Cuphea campylocentra,,GBIF,https://www.gbif.org/species/3988319,3988319
Cuphea circaeoides,,GBIF,https://www.gbif.org/species/3990099,3990099
Cuphea fruticosa,,GBIF,https://www.gbif.org/species/7286085,7286085
Cuphea leptopoda,,GBIF,https://www.gbif.org/species/3988963,3988963
Cuphea linarioides,,GBIF,https://www.gbif.org/species/7286135,7286135
Cuphea mimuloides,,GBIF,https://www.gbif.org/species/7286323,7286323
Cuphea sessilifolia,,GBIF,https://www.gbif.org/species/7286222,7286222
Cupressus corneyana,,GBIF,https://www.gbif.org/species/7698277,7698277
Curcuma albiflora,,GBIF,https://www.gbif.org/species/2757569,2757569
Curcuma cochinchinensis,,GBIF,https://www.gbif.org/species/2757574,2757574
Curcuma cordata,,GBIF,https://www.gbif.org/species/2757555,2757555
Curcuma lampangensis,,GBIF,https://www.gbif.org/species/12202181,12202181
Curcuma nankunshanensis,,GBIF,https://www.gbif.org/species/2757642,2757642
Curcuma papilionacea,,GBIF,https://www.gbif.org/species/12231538,12231538
Curcuma yunnanensis,,GBIF,https://www.gbif.org/species/2757526,2757526
Curio radicans,creeping-berry,GBIF,https://www.gbif.org/species/3107396,3107396
Curio repens,,GBIF,https://www.gbif.org/species/3149628,3149628
Cuscuta kotschyana,,GBIF,https://www.gbif.org/species/3678455,3678455
Cuscuta lehmanniana,,GBIF,https://www.gbif.org/species/3678394,3678394
Cussonia nicholsonii,South Coast Cabbage-tree,GBIF,https://www.gbif.org/species/3035210,3035210
Cyamopsis serrata,,GBIF,https://www.gbif.org/species/2946181,2946181
Cyanea coriacea,leatherleaf cyanea,GBIF,https://www.gbif.org/species/5412185,5412185
Cyanea dolichopoda,haha,GBIF,https://www.gbif.org/species/5412327,5412327
Cyanea hamatiflora,wetforest cyanea,GBIF,https://www.gbif.org/species/5412258,5412258
Cyanea truncata,Punaluu Cyanea,GBIF,https://www.gbif.org/species/5412156,5412156
Cyanostegia angustifolia,,GBIF,https://www.gbif.org/species/3904995,3904995
Cyathea conjugata,,GBIF,https://www.gbif.org/species/3599150,3599150
